MODEL;MSAN;RIN;IP;TYPE;ITEM;DESCRIPTION;PRIORITY;COMMENTS
Zhone;MAU-A23-1;a23-rin-132;10.209.241.120;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SBO-A41-0;a41-rin-450;10.209.97.205;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SBO-A41-0;a41-rin-450;10.209.97.205;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A21-0;a21-rin-106;10.209.241.138;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A21-0;a21-rin-106;10.209.241.138;CARD;b: MXK FOUR GIGE;NOT_PROV;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A21-0;a21-rin-106;10.209.241.138;CARD;8: MXK 24 PORT VDSL2 POTS;FAULT;Critical;Cartao com falha inoperante
Zhone;SBO-A39-1;a39-rin-379;10.209.97.134;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;MAU-A04-0;a04-rin-66;10.209.241.66;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A04-0;a04-rin-66;10.209.241.66;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A10-1;a10-rin-99;10.209.241.131;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A10-1;a10-rin-99;10.209.241.131;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A07-0;a07-rin-14;10.209.241.14;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;MAU-A07-0;a07-rin-14;10.209.241.14;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SBO-A51-0;a51-rin-507;10.209.98.33;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SBO-A51-0;a51-rin-507;10.209.98.33;SYSTEM;FAN tray;fan_speed_error;Critical;Falha na bandeja de FANs do shelf
Zhone;SBO-A51-0;a51-rin-507;10.209.98.33;SYSTEM;FAN tray;temp_over_limit;Critical;Sobreaquecimento do shelf - verificar bandeja de FANs e sistema de ventilacao do armario
Zhone;SBO-A51-0;a51-rin-507;10.209.98.33;CARD;b: UNKNOWN TYPE;RESET;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A03-0;a03-rin-70;10.209.241.70;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A03-0;a03-rin-70;10.209.241.70;CARD;b: MXK FOUR GIGE;NOT_PROV;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SBO-A40-0;a40-rin-446;10.209.97.201;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;SBO-A40-0;a40-rin-446;10.209.97.201;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;MAU-A11-2;a11-rin-0;10.209.241.4;CARD;unit-13;COGE3 R1E Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;MAU-A02-1;a02-rin-79;10.209.241.79;CARD;unit-13;COGE3 R1E Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A40-4;a40-rin-284;10.209.97.203;CARD;unit-13;COGE3 R1E Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;MAU-A05-CORP;a05-rin-0;10.209.241.8;CARD;unit-13;COGE3 R1E Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A43-4;a43-rin-472;10.209.97.227;CARD;unit-13;COGE3 R1F Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A29-5;a29-rin-300;10.209.97.55;SYSTEM;Shelf;PETS Holdover;Minor;""
Milegate;SBO-A29-5;a29-rin-300;10.209.97.55;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 1;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A29-5;a29-rin-300;10.209.97.55;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 2;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A29-5;a29-rin-300;10.209.97.55;SYSTEM;Shelf;All Selected PETS Clock Sources Lost;Minor;""
Milegate;SBO-A29-5;a29-rin-300;10.209.97.55;SYSTEM;Shelf;PETS Clock Source Not Primary;Minor;""
Milegate;MAU-A18-4;a18-rin-109;10.209.241.109;CARD;unit-13;COGE3 R1D Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A41-4;a41-rin-452;10.209.97.207;CARD;unit-13;COGE3 R1D Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A46;a46-rin-506;10.209.98.30;CARD;unit-13;COGE3 R1C Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A50-4;a50-rin-491;10.209.97.242;CARD;unit-13;COGE3 R1D Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A33-0;a33-rin-430;10.209.97.185;SYSTEM;alarm-7;Porta Baterias;Critical;""
Milegate;SBO-A29-99;a29-rin-298;10.209.97.53;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 1;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A29-99;a29-rin-298;10.209.97.53;SYSTEM;Shelf;PETS Clock Source Not Primary;Minor;""
Milegate;SBO-A29-99;a29-rin-298;10.209.97.53;SYSTEM;alarm-4;Falha de Fan;Critical;Alarme externo de falha no do sistema de ventilacao do armario
Milegate;SBO-A29-99;a29-rin-298;10.209.97.53;SYSTEM;alarm-7;PORTA - BATERIAS;Critical;""
Milegate;SBO-A50-0;a50-rin-490;10.209.97.241;CARD;unit-13;COGE3 R1C Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A31;a31-rin-427;10.209.97.182;SYSTEM;FAN tray;Partial Fan Breakdown;Major;Falha na bandeja de FANs do shelf
Milegate;SBO-A37-99;a37-rin-418;10.209.97.173;SYSTEM;alarm-7;PORTA - BATERIAS;Critical;""
Milegate;SBO-A33;a33-rin-431;10.209.97.186;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 1;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A33;a33-rin-431;10.209.97.186;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 2;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A33;a33-rin-431;10.209.97.186;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 3;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A33;a33-rin-431;10.209.97.186;SYSTEM;FAN tray;Partial Fan Breakdown;Major;Falha na bandeja de FANs do shelf
Milegate;SBO-A33;a33-rin-431;10.209.97.186;SYSTEM;alarm-2;Temperatura Alta;Critical;Alarme externo de falha no do sistema de ventilacao do armario
Milegate;SBO-A33;a33-rin-431;10.209.97.186;SYSTEM;alarm-3;Falha de AC;Critical;""
Milegate;SBO-A33;a33-rin-431;10.209.97.186;SYSTEM;alarm-4;Falha de Fan;Critical;Alarme externo de falha no do sistema de ventilacao do armario
Milegate;SBO-A33;a33-rin-431;10.209.97.186;SYSTEM;alarm-6;Porta Fusiveis;Major;""
Milegate;SBO-A33;a33-rin-431;10.209.97.186;SYSTEM;alarm-7;Porta Baterias;Critical;""
Milegate;MAU-A19-4;a19-rin-114;10.209.241.114;CARD;unit-13;COGE3 R1D Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A51-5;a51-rin-509;10.209.98.35;CARD;unit-13;COGE3 R1J Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A51;a51-rin-508;10.209.98.34;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 2;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A51;a51-rin-508;10.209.98.34;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 3;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A51;a51-rin-508;10.209.98.34;SYSTEM;FAN tray;Partial Fan Breakdown;Major;Falha na bandeja de FANs do shelf
Milegate;SBO-A51;a51-rin-508;10.209.98.34;CARD;unit-13;COGE3 R1E Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A36-0;a36-rin-414;10.209.97.169;SYSTEM;FAN tray;Partial Fan Breakdown;Major;Falha na bandeja de FANs do shelf
Milegate;SBO-A36-0;a36-rin-414;10.209.97.169;SYSTEM;alarm-7;Porta Baterias;Critical;""
Milegate;SBO-A31-0;a31-rin-426;10.209.97.181;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 1;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A31-0;a31-rin-426;10.209.97.181;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 2;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A31-0;a31-rin-426;10.209.97.181;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 4;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A31-0;a31-rin-426;10.209.97.181;SYSTEM;Shelf;PETS Clock Source Not Primary;Minor;""
Milegate;SBO-A31-0;a31-rin-426;10.209.97.181;SYSTEM;alarm-1;Door_Open;Minor;""
Milegate;SBO-A31-0;a31-rin-426;10.209.97.181;SYSTEM;alarm-2;Temperatura Alta;Critical;Alarme externo de falha no do sistema de ventilacao do armario
Milegate;SBO-A31-0;a31-rin-426;10.209.97.181;SYSTEM;alarm-5;portas - equipamentos;Major;""
Milegate;SBO-A44-5;a44-rin-477;10.209.97.232;SYSTEM;Shelf;Stand;Minor;""
Milegate;SBO-A44-5;a44-rin-477;10.209.97.232;CARD;unit-13;COGE3 R1C Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A32-0;a32-rin-434;10.209.97.189;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 3;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A32-0;a32-rin-434;10.209.97.189;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 4;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A35-1;a35-rin-391;10.209.97.146;SYSTEM;FAN tray;Total Fan Breakdown;Critical;Bandeja de FANs do shelf inoperante
Milegate;SBO-A34-99;a34-rin-274;10.209.97.29;SYSTEM;Shelf;PETS Holdover;Minor;""
Milegate;SBO-A34-99;a34-rin-274;10.209.97.29;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 1;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A34-99;a34-rin-274;10.209.97.29;SYSTEM;Shelf;All Selected PETS Clock Sources Lost;Minor;""
Milegate;SBO-A34-99;a34-rin-274;10.209.97.29;SYSTEM;Shelf;PETS Clock Source Not Primary;Minor;""
Milegate;MAU-A21-5;a21-rin-109;10.209.241.141;CARD;unit-13;COGE3 R1D Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SBO-A35-0;a35-rin-390;10.209.97.145;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 3;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SBO-A35-0;a35-rin-390;10.209.97.145;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 4;Major;LOSS em uma das fontes de sincronismo E1 TDM
Zhone;SVE-A10-1;a10-rin-296;10.209.225.91;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SVE-A06-0;a06-rin-266;10.209.233.8;SYSTEM;Shelf;not_in_redundant_mode;Minor;""
Zhone;SVE-A06-0;a06-rin-266;10.209.233.8;INTERFACE;1-b-2-0/eth;Inactive;Minor;Secondary Inactive
Zhone;MAU-A26-0;a26-rin-146;10.209.241.142;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A26-0;a26-rin-146;10.209.241.142;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A23-0;a23-rin-136;10.209.241.118;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A23-0;a23-rin-136;10.209.241.118;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A25-2;a25-rin-129;10.209.241.129;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A25-2;a25-rin-129;10.209.241.129;SYSTEM;FAN tray;fan_speed_error;Critical;Falha na bandeja de FANs do shelf
Zhone;MAU-A24-0;a24-rin-140;10.209.241.122;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A24-0;a24-rin-140;10.209.241.122;SYSTEM;FAN tray;fan_speed_error;Critical;Falha na bandeja de FANs do shelf
Zhone;MAU-A24-0;a24-rin-140;10.209.241.122;CARD;b: MXK FOUR GIGE;NOT_PROV;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A24-0;a24-rin-140;10.209.241.122;CARD;13: MXK 24 PORT VDSL2 POTS;FAULT;Critical;Cartao com falha inoperante
Zhone;MAU-A26-3;a26-rin-190;10.209.241.145;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A26-3;a26-rin-190;10.209.241.145;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-I01-0;i01-rin-400;10.209.241.250;SYSTEM;Shelf;not_in_redundant_mode;Minor;""
Zhone;MAU-I01-0;i01-rin-400;10.209.241.250;INTERFACE;1-b-2-0/eth;Down;Minor;Secondary Down
Zhone;MAU-A27-1;a27-rin-56;10.209.241.20;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A27-1;a27-rin-56;10.209.241.20;CARD;b: MXK FOUR GIGE;RESET;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A25-0;a25-rin-144;10.209.241.126;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A25-0;a25-rin-144;10.209.241.126;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A26-1;a26-rin-189;10.209.241.144;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A26-1;a26-rin-189;10.209.241.144;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A27-2;a27-rin-57;10.209.241.21;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;MAU-A27-2;a27-rin-57;10.209.241.21;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-I01-1;i01-rin-401;10.209.241.251;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A23-2;a23-rin-133;10.209.241.121;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A23-2;a23-rin-133;10.209.241.121;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A25-1;a25-rin-128;10.209.241.128;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;MAU-A25-1;a25-rin-128;10.209.241.128;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A24-2;a24-rin-105;10.209.241.125;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;MAU-A24-2;a24-rin-105;10.209.241.125;SYSTEM;FAN tray;fan_speed_error;Critical;Falha na bandeja de FANs do shelf
Zhone;MAU-A24-2;a24-rin-105;10.209.241.125;CARD;b: MXK FOUR GIGE;NOT_PROV;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;MAU-A24-1;a24-rin-104;10.209.241.124;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Milegate;SPO-A54-0;a54-rin-91;10.214.3.116;CARD;unit-13;COGE3 R1F Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SPO-A44-0;a44-rin-35;10.214.3.38;CARD;unit-13;COGE3 R1F Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SPO-A59-0;a59-rin-39;10.214.3.46;CARD;unit-13;COGE3 R1H Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
