MODEL;MSAN;RIN;IP;Slot_ID;Slot_Name;Slot_Main_Mode;Slot_State;Slot_Alarm;Slot_Prop_Alarm;Port_ID;Port_Main_Mode;Port_Alarm;Port_User_Label;Port_Service_Label;Port_Description;OperationalStatus;NearEnd_CurrentAttenuation;NearEnd_CurrentMargin;NearEnd_CurrentPowerBackOff;FarEnd_CurrentAttenuation;FarEnd_CurrentMargin;FarEnd_CurrentPowerBackOff
Milegate;SPO-A67-0;a67-rin-96;10.214.3.126;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-5 ;port-5; Major     ;                              ;                           ; ;Down;128;127;255;128;127;255
Milegate;SPO-B45-0;b45-rin-21;10.214.33.2;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-1 ;port-1; Major     ;                   ;                   ; ;Down;128;127;255;128;127;255
Milegate;SPO-B08-0;b08-rin-5;10.214.25.70;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Cleared;logport-4 ;port-4; Cleared   ; Cliente: NUNES ROMERO ; Designador: SPO-301KGUN89-032-02 ; ;Up;7;24;2;6;21;4
Milegate;SPO-A72-0;a72-rin-10;10.214.3.142;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-8 ;port-8; Cleared   ; GENERAL_BUSINESS         ; SPO-301LMSGJZ-032             ; ;Up;4;23;4;4;20;5
Milegate;SPO-B34-0;b34-rin-112;10.214.25.58;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-1 ;port-1; Major     ; EFIBRAS                       ; SPO-301JJGZ0                  ; ;Down;128;127;255;128;127;255
Milegate;SPO-A62-0;a62-rin-65;10.214.3.80;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Cleared   ; Cliente: TECNO_MOAGEIRA                                   ; Designador: SPO-301LEZVEB-032 ; ;Up;2;23;6;2;21;6
Milegate;SPO-A66-0;a66-rin-16;10.214.3.12;unit-20;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Cleared   ;            ;               ; ;Up;2;24;6;2;21;6
Milegate;SPO-B29-0;b29-rin-146;10.214.25.74;unit-16;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-8 ;port-8; Major     ; Cliente: CDM COMERCIAL    ; Designador: SPO-301KLGYK6      ; ;Down;128;127;255;128;127;255
Milegate;SPO-B20-0;b20-rin-48;10.214.25.6;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-5 ;port-5; Major     ;            ;               ; ;Down;128;127;255;128;127;255
Milegate;SPO-A67-0;a67-rin-96;10.214.3.126;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-7 ;port-7; Cleared   ; Cliente: FORT LIDER COMERCIO ; Designador: SPO-301KCNK3C ; ;Down;128;127;255;128;127;255
Milegate;SPO-A63-0;a63-rin-2;10.214.3.146;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-2 ;port-2; Cleared   ; Cliente: NEOCOND              ; Designador:SPO-301KWDPE7-032  ; ;Up;7;23;2;6;21;4
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-17;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-5 ;port-5; Cleared   ; Cliente: TP-LINK            ; Designador: SPO-301E0IYPZ-032  ; ;Up;7;24;2;8;21;3
Milegate;SPO-B12-0;b12-rin-46;10.214.25.2;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-4 ;port-4; Major     ; Cliente: AMF ON LINE        ; Designador: SPO-301JX0TS7-032 ; ;Down;128;127;255;128;127;255
Milegate;SPO-A61-0;a61-rin-41;10.214.3.50;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-5 ;port-5; Cleared   ; Cliente_ABS_INDUSTRIA            ; SPO-30WKX4CX-032              ; ;Up;3;23;5;2;21;6
Milegate;SPO-B08-0;b08-rin-5;10.214.25.70;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Cleared;logport-6 ;port-6; Cleared   ; Cliente: NOVAQUEST    ; Designador: SPO-301L74Q3Z-032    ; ;Down;128;127;255;128;127;255
Milegate;SPO-B45-0;b45-rin-21;10.214.33.2;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-2 ;port-2; Major     ;                   ;                   ; ;Down;128;127;255;128;127;255
Milegate;SPO-B34-0;b34-rin-112;10.214.25.58;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-3 ;port-3; Major     ; Cliente:COM_COMERCIO          ; Designador:SPO-301K8PW1E-032  ; ;Down;128;127;255;128;127;255
Milegate;SPO-A62-0;a62-rin-65;10.214.3.80;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-7 ;port-7; Cleared   ; Cliente:COMPLIANCE                                        ; Designador:SPO-301KW4717-03   ; ;Up;2;23;6;2;20;6
Milegate;SPO-A66-0;a66-rin-16;10.214.3.12;unit-20;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-7 ;port-7; Major     ;            ;               ; ;Down;128;127;255;128;127;255
Milegate;SPO-B20-0;b20-rin-48;10.214.25.6;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Major     ;            ;               ; ;Down;128;127;255;128;127;255
Milegate;SPO-B12-0;b12-rin-46;10.214.25.2;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-5 ;port-5; Major     ; CLIENTE_D_A_ASSESSORIA      ; DESIGNADOR_SPO-30QKBD1A       ; ;Down;128;127;255;128;127;255
Milegate;SPO-A61-0;a61-rin-41;10.214.3.50;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Major     ; CLIENTE_MORE                     ; DESIGNADOR_SPO-301KU0CPI-032  ; ;Down;128;127;255;128;127;255
Milegate;SPO-B45-0;b45-rin-21;10.214.33.2;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-4 ;port-4; Major     ; CLI_NEOTASS_PUB   ; SPO-301KK5M3V-032 ; ;Down;128;127;255;128;127;255
Milegate;SPO-B08-0;b08-rin-5;10.214.25.70;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Cleared;logport-7 ;port-7; Cleared   ; Cliente: NOVAQUEST    ; Designador: SPO-301L74Q3Z-032-01 ; ;Down;128;127;255;128;127;255
Milegate;SPO-A63-0;a63-rin-2;10.214.3.146;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-3 ;port-3; Cleared   ; CLIENTE - ELETRONICA SANTANA  ; DESIGNADOR- SPO-301KKLQOO-032 ; ;Up;5;22;3;6;20;4
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-17;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Cleared   ; CLIENTE_TP-LINK             ; DESIGNADOR_SPO-301E0IZ2N       ; ;Up;7;24;2;8;20;0
Milegate;SPO-B34-0;b34-rin-112;10.214.25.58;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-4 ;port-4; Cleared   ; Cliente: GATEWAY CORRETORA    ; Designador:SPO-301K4DY8P      ; ;Up;3;24;3;4;21;5
Milegate;SPO-B20-0;b20-rin-48;10.214.25.6;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-8 ;port-8; Major     ;            ;               ; ;Down;128;127;255;128;127;255
Milegate;SPO-A61-0;a61-rin-41;10.214.3.50;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-7 ;port-7; Major     ; Cliente:MORE_E_LUCCHESI          ; Designador:SPO-301KVU2IA-032  ; ;Down;128;127;255;128;127;255
Milegate;SPO-B08-0;b08-rin-5;10.214.25.70;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Cleared;logport-8 ;port-8; Cleared   ; Cliente: NOVAQUEST    ; Designador: SPO-301L74Q3Z-032-02 ; ;Down;128;127;255;128;127;255
Milegate;SPO-A63-0;a63-rin-2;10.214.3.146;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-4 ;port-4; Cleared   ; CLIENTE - FURTADO E SHIMIT    ;                               ; ;Up;9;24;1;8;21;3
Milegate;SPO-B12-0;b12-rin-46;10.214.25.2;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Cleared   ; CLIENTE_KSL_CONTACT         ; DESIGNADOR_SPO-301KD0N88      ; ;Up;5;24;4;4;21;5
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-17;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-7 ;port-7; Cleared   ; Cliente:ESSENCIAL           ; Designador:SPO-301KP1S2Z-032   ; SEC.487;Up;3;23;5;2;21;6
Milegate;SPO-B45-0;b45-rin-21;10.214.33.2;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Cleared   ; Cliente_E2_BRASIL ; SPO-301KQTC4N-032 ; ;Up;7;24;3;6;21;0
Milegate;SPO-B29-0;b29-rin-146;10.214.25.74;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Warning;logport-1 ;port-1; Cleared   ;                         ;                                 ; ;Down;128;127;255;128;127;255
Milegate;SPO-B34-0;b34-rin-112;10.214.25.58;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Cleared   ; CLIENTE : GATEWAY CORRETORA   ; Designador : SPO-301K4EYKJ    ; ;Up;6;23;3;6;21;5
Milegate;SPO-B12-0;b12-rin-46;10.214.25.2;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-7 ;port-7; Cleared   ; Cliente: EDITORA_HOOLNEX    ; Designador: SPO-301LD3ETB-032 ; ;Up;3;23;5;2;21;6
Milegate;SPO-A63-0;a63-rin-2;10.214.3.146;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-5 ;port-5; Major     ; Cliente: D R M SERVICOS       ; Designador: SPO-301FNA9EX-032 ; ;Down;128;127;255;128;127;255
Milegate;SPO-B18-0;b18-rin-109;10.214.25.52;unit-17;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-8 ;port-8; Major     ; MWA                         ; OS.21221757                    ; SPO-301KZ3OYY-032;Down;128;127;255;128;127;255
Milegate;SPO-B29-0;b29-rin-146;10.214.25.74;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Warning;logport-2 ;port-2; Cleared   ; Cliente: RR CONSULTORIA ; Designador: SPO-30MJSLR3-032-02 ; ;Up;8;21;2;8;20;3
Milegate;SPO-B34-0;b34-rin-112;10.214.25.58;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-8 ;port-8; Cleared   ; Cliente: S_F_M_COMERCIO_DE_VE ; Designador: SPO-301K8G1ER-032 ; ;Up;5;24;3;6;21;4
Milegate;SPO-B12-0;b12-rin-46;10.214.25.2;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-8 ;port-8; Major     ; Cliente: M A TOPAL          ; Designador: SPO-301KL5BSZ-032 ; ;Down;128;127;255;128;127;255
Milegate;SPO-A63-0;a63-rin-2;10.214.3.146;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-6 ;port-6; Major     ; BANCO PANAMERICANO            ; SPO-301KFGTC7                 ; ;Up;5;24;3;4;21;0
Milegate;SPO-B29-0;b29-rin-146;10.214.25.74;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Warning;logport-3 ;port-3; Cleared   ;                         ;                                 ; ;Up;8;22;2;8;18;4
